landingFacilityType|locationIdentifier|stateCode|cityName|officialFacilityName|elevation|land_area|refPtLatitude|refPtLongitude
AIRPORT|ADK|AK|ADAK ISLAND|ADAK|19.5||51.8835820555556|-176.642479916667
AIRPORT|AKK|AK|AKHIOK|AKHIOK|44.4||56.9386908333333|-154.182555555556
AIRPORT|Z13|AK|AKIACHAK|AKIACHAK|22.8|231|60.9138097222222|-161.493329166667
SEAPLANE BASE|KKI|AK|AKIACHAK|AKIACHAK|18||60.9078647222222|-161.435077222222
AIRPORT|AKI|AK|AKIAK|AKIAK|39.8|59|60.9028972222222|-161.230583333333
SEAPLANE BASE|KQA|AK|AKUTAN|AKUTAN|0||54.1339|-165.778383333333
AIRPORT|7AK|AK|AKUTAN|AKUTAN|129.3|369|54.1446111111111|-165.604108333333
AIRPORT|AUK|AK|ALAKANUK|ALAKANUK|21.7||62.6830555555556|-164.722194444444
AIRPORT|Z25|AK|ALEKNAGIK|TRIPOD|225||59.2631458333333|-158.557755277778
SEAPLANE BASE|Z33|AK|ALEKNAGIK|ALEKNAGIK|7||59.2739780555556|-158.623589166667
AIRPORT|5A8|AK|ALEKNAGIK|ALEKNAGIK /NEW|63|51|59.2825555555556|-158.617866666667
AIRPORT|4AK7|AK|ALEKNAGIK|ALEKNAGIK MISSION STRIP|150||59.2809233333333|-158.597200277778
AIRPORT|6A8|AK|ALLAKAKET|ALLAKAKET|441.1||66.5518333333333|-152.622166666667
AIRPORT|AFM|AK|AMBLER|AMBLER|292.6|272|67.1062022777778|-157.857170861111
AIRPORT|80A|AK|AMERICAN CREEK|AMERICAN CREEK|513||65.1039819444444|-151.177233333333
SEAPLANE BASE|AK81|AK|AMOOK BAY|AMOOK BAY|0||57.4714936111111|-153.815360555556
AIRPORT|AKP|AK|ANAKTUVUK PASS|ANAKTUVUK PASS|2106.3||68.1336111111111|-151.743333333333
AIRPORT|CSR|AK|ANCHORAGE|CAMPBELL AIRSTRIP|286|4201|61.1587|-149.780611111111
HELIPORT|AK38|AK|ANCHORAGE|PROVIDENCE HOSPITAL|140||61.1890305555556|-149.821830555556
AIRPORT|AA06|AK|ANCHORAGE|SIXMILE LAKE|85|80|61.2897222222222|-149.806111111111
HELIPORT|AA04|AK|ANCHORAGE|VIKING|72||61.224775|-149.839094444444
HELIPORT|2OK|AK|ANCHORAGE|ALASKA RGNL HOSPITAL|137|426|61.2127027777778|-149.826583333333
AIRPORT|AK36|AK|POINT MACKENZIE|POINT MAC|123||61.4360194444444|-150.122361111111
HELIPORT|AK82|AK|ANCHORAGE|CAMPBELL BLM|235||61.1561305555556|-149.7923
AIRPORT|64AK|AK|POINT MACKENZIE|CARPENTIERS STRIP|175||61.4399111111111|-150.0261
HELIPORT|99AA|AK|ANCHORAGE|AVIATOR HOTEL ANCHORAGE|123||61.2189055555556|-149.886480555556
AIRPORT|AK12|AK|ANCHORAGE|FLYING CROWN|150|6|61.1066|-149.864269444444
AIRPORT|A13|AK|ANCHORAGE|BOLD|900||61.3413388888889|-148.998880555556
HELIPORT|AK37|AK|POINT MACKENZIE|POINT MACKENZIE|72|2|61.2494513888889|-150.035560555556
AIRPORT|ANC|AK|ANCHORAGE|TED STEVENS ANCHORAGE INTL|151.4|4608|61.1741565|-149.998188638889
AIRPORT|MRI|AK|ANCHORAGE|MERRILL FIELD|137.3|436|61.2135450555556|-149.844724138889
SEAPLANE BASE|3C3|AK|ANCHORAGE|CAMPBELL LAKE SPB|20||61.1330611111111|-149.9419
AIRPORT|EDF|AK|ANCHORAGE|ELMENDORF AFB|213||61.2513531944444|-149.806525666667
HELIPORT|AK91|AK|ANCHORAGE|ELMENDORF HOSPITAL|228||61.2353833333333|-149.749275
AIRPORT|6AK5|AK|ANCHORAGE|FIRE ISLAND|55|30|61.1683372222222|-150.160553611111
AIRPORT|9AK5|AK|ANCHORAGE|SKY HARBOR|340||61.1164805555556|-149.818769444444
HELIPORT|PA06|AK|ANCHORAGE|PACER PLACE|367|2|61.1296944444444|-149.795916666667
AIRPORT|FRN|AK|FORT RICHARDSON(ANCHORAGE)|BRYANT AAF|386.8||61.2658993055555|-149.653307638889
AIRPORT|LHD|AK|ANCHORAGE|LAKE HOOD|79.3||61.1866391944444|-149.965393638889
AIRPORT|2AK0|AK|POINT MACKENZIE|MAC KENZIE COUNTRY AIRPARK|120|80|61.2558805555556|-149.974655555556
AIRPORT|0AK9|AK|POINT MACKENZIE|FALCON LAKE STRIP|110||61.33255|-150.059052777778
AIRPORT|AK00|AK|ANCHOR POINT|ANCHOR RIVER AIRPARK|120|12|59.7830555555556|-151.853055555556
AIRPORT|00AK|AK|ANCHOR POINT|LOWELL FIELD|252|200|59.9488888888889|-151.692222222222
SEAPLANE BASE|AGN|AK|ANGOON|ANGOON|0||57.5035552777778|-134.585093888889
AIRPORT|ANI|AK|ANIAK|ANIAK|95.9|1722|61.5815969444444|-159.543042777778
AIRPORT|ANN|AK|ANNETTE|ANNETTE ISLAND|119||55.0422935833333|-131.570899361111
SEAPLANE BASE|Z43|AK|ANNETTE|TAMGAS HARBOR|0||55.0679922222222|-131.556954722222
AIRPORT|ANV|AK|ANVIK|ANVIK|297.3|245|62.6473333333333|-160.190055555556
SEAPLANE BASE|K40|AK|ANVIK|ANVIK|52||62.6562238888889|-160.205448611111
AIRPORT|ARC|AK|ARCTIC VILLAGE|ARCTIC VILLAGE|2092||68.1146694444444|-145.579415277778
AIRPORT|AKA|AK|ATKA|ATKA|55.2|340|52.2205833333333|-174.206194444444
AIRPORT|4A2|AK|ATMAUTLUAK|ATMAUTLUAK|19.4|99|60.8678888888889|-162.274277777778
AIRPORT|ATK|AK|ATQASUK|ATQASUK EDWARD BURNELL SR MEMORIAL|101.3||70.4671111111111|-157.435666666667
AIRPORT|ATU|AK|ATTU|CASCO COVE CGS|88||52.8325416666667|173.175554166667
SEAPLANE BASE|BNF|AK|BARANOF|BARANOF WARM SPRINGS FLOAT AND SEAPLANE FLOAT|0||57.0888258333333|-134.833141388889
AIRPORT|BRW|AK|BARROW|WILEY POST-WILL ROGERS MEMORIAL|48.9||71.2848611111111|-156.768583333333
AIRPORT|BTI|AK|BARTER ISLAND|BARTER ISLAND|55.1||70.1131111111111|-143.653611111111
SEAPLANE BASE|BQV|AK|BARTLETT COVE|BARTLETT COVE|0||58.4552077777778|-135.88517
AIRPORT|Z47|AK|BASIN CREEK|ENGSTROM FIELD|143||64.6790902777778|-165.299201388889
AIRPORT|AK02|AK|BEAR CREEK|BEAR CREEK 1|575||65.5398866666667|-161.062377777778
AIRPORT|Z48|AK|BEAR CREEK|BEAR CREEK 3|740||63.5716091666667|-156.144050555556
AIRPORT|Z52|AK|BEAR LAKE|JOHNSONS LANDING|130||56.0366855555556|-160.266205277778
AIRPORT|WBQ|AK|BEAVER|BEAVER|364.7|446|66.3622222222222|-147.4065
SEAPLANE BASE|KBE|AK|BELL ISLAND|BELL ISLAND HOT SPRINGS|0||55.9290780555556|-131.571690555556
AIRPORT|BLG|AK|BELUGA|BELUGA|87.2||61.1729618888889|-151.045416305556
SEAPLANE BASE|Z58|AK|BETHEL|HANGAR LAKE|17||60.7967480555556|-161.727296388889
SEAPLANE BASE|Z59|AK|BETHEL|BETHEL|15||60.7820252777778|-161.743128888889
AIRPORT|BET|AK|BETHEL|BETHEL|128.8|1056|60.7785555555555|-161.837166666667
AIRPORT|BTT|AK|BETTLES|BETTLES|647.3|1195|66.9139444444445|-151.529055555556
SEAPLANE BASE|2A4|AK|BETTLES|VOR LAKE WATERLANE|648.1|292|66.8874444444444|-151.494138888889
SEAPLANE BASE|85AK|AK|BIG LAKE|MARION|150||61.5091666666667|-149.908611111111
AIRPORT|02AA|AK|BIG LAKE|H & H FIELD|160|14|61.5066666666667|-149.911944444444
SEAPLANE BASE|AA01|AK|BIG LAKE|WEST BEAVER|215||61.5849611111111|-149.846530555556
SEAPLANE BASE|AA02|AK|BIG LAKE|HORSESHOE LAKE|140||61.5714805555556|-149.924111111111
SEAPLANE BASE|86AK|AK|BIG LAKE|"HOPPE'S"|180||61.5514305555556|-149.94575
SEAPLANE BASE|91AK|AK|BIG LAKE|KUCERA|175||61.5763888888889|-149.943333333333
AIRPORT|20AK|AK|BIG LAKE|OWEN FIELD|150||61.5037888888889|-149.896044444444
AIRPORT|AK86|AK|BIG LAKE|KRAMER|150||61.5735388888889|-149.91135
AIRPORT|08AK|AK|BIG LAKE|FISHER|200||61.5696388888889|-149.724438888889
AIRPORT|09AK|AK|BIG LAKE|WEST BEAVER|228||61.5893611111111|-149.847333333333
AIRPORT|BGQ|AK|BIG LAKE|BIG LAKE|157.5||61.5346833333333|-149.812544444444
HELIPORT|AK87|AK|BIG LAKE|TEAM LEVINE|150||61.5148611111111|-149.929011111111
AIRPORT|AK95|AK|BIG LAKE|TWIN LAKE|185||61.5703666666667|-149.779038888889
AIRPORT|9AK7|AK|BIG LAKE|CUBDIVISION|250|5|61.5898305555556|-149.816661111111
AIRPORT|63AK|AK|BIG LAKE|KUCERA RESIDENCE|189||61.5843305555556|-149.9381
SEAPLANE BASE|D71|AK|BIG LAKE|BEAVER LAKE|150||61.5751388888889|-149.847666666667
HELIPORT|68AK|AK|BIG LAKE|"COWELL'S"|142||61.5165805555556|-149.931080555556
SEAPLANE BASE|L95|AK|BIG LAKE|JONES LANDING|180||61.5547722222222|-149.939336111111
HELIPORT|AA07|AK|BIG LAKE|SADDLEBACK ISLAND|150||61.521575|-149.927138888889
AIRPORT|95AK|AK|BIG LAKE|"BROWN'S HOMESTEAD"|140||61.4726194444444|-149.982469444444
SEAPLANE BASE|6A7|AK|BIG LAKE|BROCKER LAKE|100||61.4818388888889|-149.773244444444
AIRPORT|37AK|AK|BIG MOUNTAIN|BIG MOUNTAIN|663||59.3612466666667|-155.258821388889
AIRPORT|AA10|AK|BIG LAKE|EAGLES ROOST|330||61.5311305555556|-149.700938888889
SEAPLANE BASE|AK48|AK|BIG LAKE|HAGGARDS LANDING SEAPLANE BASE|150||61.528|-150.014666666667
AIRPORT|Z91|AK|BIRCH CREEK|BIRCH CREEK|439.8|155|66.2744722222222|-145.818194444444
AIRPORT|BCV|AK|BIRCHWOOD|BIRCHWOOD|83|196|61.4160887777778|-149.508306138889
AIRPORT|5BK|AK|BLACK RAPIDS|BLACK RAPIDS|2125||63.5351463888889|-145.860886111111
AIRPORT|AK97|AK|BOSWELL BAY|BOSWELL BAY|230||60.4230641666667|-146.145909444444
AIRPORT|BYA|AK|BOUNDARY|BOUNDARY|2940|45|64.0783027777778|-141.113375
AIRPORT|KTS|AK|BREVIG MISSION|BREVIG MISSION|38.1|344|65.3313333333333|-166.465722222222
AIRPORT|AK98|AK|BUCK CREEK|BUCK CREEK|560||65.6386719444445|-167.485806944444
AIRPORT|BVK|AK|BUCKLAND|BUCKLAND|29|184|65.9815555555556|-161.149138888889
AIRPORT|AK75|AK|CANDLE|CANDLE 2|15||65.9076580555556|-161.926305833333
AIRPORT|TTW|AK|CANTWELL|CANTWELL|2190||63.3912047222222|-148.955616388889
AIRPORT|15AK|AK|CANTWELL|GOLDEN NORTH AIRFIELD|2250|6|63.37065|-148.850336111111
HELIPORT|CDE|AK|CAPE DECISION|CAPE DECISION LIGHTHOUSE|34||56.0021130555556|-134.135339166667
AIRPORT|LUR|AK|CAPE LISBURNE|CAPE LISBURNE LRRS|14||68.8751277777778|-166.111081944444
AIRPORT|EHM|AK|CAPE NEWENHAM|CAPE NEWENHAM LRRS|531||58.64815|-162.063802777778
SEAPLANE BASE|Z71|AK|CAPE POLE|CAPE POLE|0||55.96629|-133.796721111111
AIRPORT|CZF|AK|CAPE ROMANZOF|CAPE ROMANZOF LRRS|467||61.7810152777778|-166.039576388889
AIRPORT|26AK|AK|CAPE SARICHEF|CAPE SARICHEF|291||54.5824311111111|-164.914480833333
HELIPORT|CSP|AK|CAPE SPENCER|CAPE SPENCER C G|84||58.1992388888889|-136.639930555556
AIRPORT|CEM|AK|CENTRAL|CENTRAL|936.8|97|65.5739444444445|-144.780888888889
AIRPORT|CIK|AK|CHALKYITSIK|CHALKYITSIK|548.5||66.6450277777778|-143.739888888889
AIRPORT|5CD|AK|CHANDALAR CAMP|CHANDALAR SHELF|3222||68.0654394444444|-149.579739166667
AIRPORT|WCR|AK|CHANDALAR LAKE|CHANDALAR LAKE|1920|211|67.5045166666667|-148.483222222222
SEAPLANE BASE|05AA|AK|CHATHAM|CHATHAM|0||57.5149383333333|-134.946215
AIRPORT|CFK|AK|CHEFORNAK|CHEFORNAK|54.1||60.1368055555556|-164.279055555556
AIRPORT|AK13|AK|CHENA HOT SPRINGS|CHENA HOT SPRINGS|1195||65.0518255555556|-146.047431944444
AIRPORT|C05|AK|CHENEGA|CHENEGA BAY|68.9|123|60.0785611111111|-147.994734722222
AIRPORT|VAK|AK|CHEVAK|CHEVAK|48||61.5408333333333|-165.600888888889
AIRPORT|48AK|AK|CHICKALOON|CASTLE MOUNTAIN AIRSTRIP|1010||61.7930888888889|-148.492496111111
AIRPORT|CKX|AK|CHICKEN|CHICKEN|1640|68|64.0667513888889|-141.951347222222
SEAPLANE BASE|Z78|AK|CHIGNIK|CHIGNIK BAY|0||56.2956105555556|-158.401479722222
AIRPORT|KCL|AK|CHIGNIK LAGOON|CHIGNIK LAGOON|27.7||56.3109666666667|-158.534486111111
AIRPORT|AJC|AK|CHIGNIK|CHIGNIK|24||56.3114626388889|-158.373238194444
AIRPORT|A79|AK|CHIGNIK LAKE|CHIGNIK LAKE|50||56.2554569444444|-158.777831944444
AIRPORT|CZN|AK|CHISANA|CHISANA|3348||62.07175|-142.04935
AIRPORT|CZO|AK|CHISTOCHINA|CHISTOCHINA|1860.7||62.5623333333333|-144.672444444444
AIRPORT|CXC|AK|CHITINA|CHITINA|556||61.5832027777778|-144.429802777778
AIRPORT|9A3|AK|CHUATHBALUK|CHUATHBALUK|243.7|138|61.5790555555556|-159.215638888889
AIRPORT|AK24|AK|CHUGIAK|HILLTOP|420||61.4178611111111|-149.439488888889
AIRPORT|CRC|AK|CIRCLE|CIRCLE CITY|613.2|324|65.8279166666667|-144.076197222222
AIRPORT|CHP|AK|CIRCLE HOT SPRINGS|CIRCLE HOT SPRINGS|870.2|37|65.4859069444445|-144.611684722222
SEAPLANE BASE|96AK|AK|CLAM GULCH|HACKNEY LANDING|208||60.2877833333333|-151.346122222222
AIRPORT|CLP|AK|CLARKS POINT|CLARKS POINT|79.6|114|58.8336944444444|-158.529388888889
AIRPORT|Z84|AK|CLEAR|CLEAR|559.4|1127|64.3003888888889|-149.116527777778
AIRPORT|CLF|AK|CLEAR|CLEAR SKY LODGE|650||64.2570341666667|-149.186250277778
SEAPLANE BASE|KCC|AK|COFFMAN COVE|COFFMAN COVE|0||56.0148038888889|-132.8339225
AIRPORT|CDB|AK|COLD BAY|COLD BAY|99.5|2213|55.2059166666667|-162.72625
SEAPLANE BASE|Z87|AK|COLD BAY|BLINN LAKE|50||55.2516272222222|-162.753404444444
AIRPORT|1AK3|AK|COLD BAY|PORT MOLLER|20|369|56.0059858333333|-160.560791944444
AIRPORT|CXF|AK|COLDFOOT|COLDFOOT|1049.1|288|67.2521944444444|-150.203888888889
AIRPORT|KCR|AK|COLORADO CREEK|COLORADO CREEK|860||63.5677230555556|-155.989043611111
AIRPORT|JLA|AK|COOPER LANDING|QUARTZ CREEK|466|106|60.4842638888889|-149.7229
AIRPORT|Z93|AK|COPPER CENTER|COPPER CENTER 2|1150||61.94119|-145.294080833333
AIRPORT|CDV|AK|CORDOVA|MERLE K (MUDHOLE) SMITH|53.6|2959|60.4917777777778|-145.477555555556
AIRPORT|AK30|AK|CORDOVA|STRAWBERRY POINT|50||60.3911527777778|-146.097463888889
AIRPORT|CKU|AK|CORDOVA|CORDOVA MUNI|59||60.5436444444444|-145.725854166667
AIRPORT|K29|AK|COUNCIL|COUNCIL|100|114|64.8967472222222|-163.703498611111
SEAPLANE BASE|CGA|AK|CRAIG|CRAIG|0||55.4788313888889|-133.147801111111
SEAPLANE BASE|5C5|AK|CRAIG|EL CAPITAN LODGE|0||55.9585888888889|-133.253372222222
HELIPORT|1AK0|AK|CRAIG|CRAIG CG|20||55.4752202777778|-133.145856388889
AIRPORT|1AK1|AK|CREVICE CREEK|CREVICE CREEK|840|20|67.3728722222222|-152.016077777778
AIRPORT|CJX|AK|CROOKED CREEK|CROOKED CREEK|180.6|94|61.8678888888889|-158.134944444444
AIRPORT|01AA|AK|CROOKED CREEK|DONLIN CREEK|733.7|20|62.0324763888889|-158.236404166667
AIRPORT|1AK2|AK|CROSSWIND LAKE|CROSSWIND LAKE|2125||62.4009419444444|-146.013304722222
AIRPORT|DCK|AK|DAHL CREEK|DAHL CREEK|260|13|66.9425614166667|-156.891368638889
AIRPORT|SCC|AK|DEADHORSE|DEADHORSE|67.4|6506|70.1947541111111|-148.465164861111
AIRPORT|AK15|AK|DEADHORSE|ALPINE AIRSTRIP|21.4||70.3442777777778|-150.94475
AIRPORT|AK78|AK|DEADHORSE|BADAMI|25.5||70.1374666666667|-147.030438888889
HELIPORT|AA03|AK|DEADHORSE|CENTRAL PAD|9.3||70.1712846111111|-146.258569638889
AIRPORT|37AA|AK|DEADHORSE|POINT THOMSON AIRSTRIP|56|44|70.136|-146.290027777778
AIRPORT|4AK1|AK|DEADHORSE|INIGOK|191||70.0038306944444|-153.077568194444
AIRPORT|DEE|AK|DEERING|DEERING|29.9|262|66.0691111111111|-162.767055555556
AIRPORT|BIG|AK|DELTA JUNCTION FT GREELY|ALLEN AAF|1285||63.9951666666667|-145.720055555556
AIRPORT|11AK|AK|DELTA JUNCTION|ROCKING T RANCH|1190||63.9996058333333|-145.502317777778
AIRPORT|D66|AK|DELTA JUNCTION|DELTA JUNCTION|1150|80|64.0501166666667|-145.722465277778
AIRPORT|AA22|AK|DELTA JUNCTION|DELTA DAVES|1050||64.1328583333333|-145.804494444444
AIRPORT|29AK|AK|DELTA JUNCTION|REMINGTON FIELD|1250||64.0496094444444|-145.418991666667
AIRPORT|45AK|AK|DELTA JUNCTION|CHEROKEE|1300||63.9618288888889|-145.470091944444
AIRPORT|AK09|AK|DELTA JUNCTION|WINGSONG ESTATES|1100|10|64.0496066666667|-145.502324166667
AIRPORT|9AK4|AK|DELTA JUNCTION|ARCTIC ANGEL|1009|19|64.1373611111111|-145.830388888889
HELIPORT|AK35|AK|DELTA JUNCTION|BUFFALO ROW|1180||64.0388625|-145.738947222222
HELIPORT|72AK|AK|DELTA JUNCTION|TROPHY LODGE|1200||64.0271088888889|-145.680174444444
AIRPORT|AK77|AK|DELTA JUNCTION|ALL WEST|1275||63.9414277777778|-145.422225
AIRPORT|76AK|AK|DELTA JUNCTION|POGO MINE AIRSTRIP|1350||64.4674638888889|-144.920891666667
AIRPORT|DLG|AK|DILLINGHAM|DILLINGHAM|82|620|59.0446666666667|-158.5055
AIRPORT|AK21|AK|DILLINGHAM|NUSHAGAK|40||59.1325833333333|-157.777180555556
SEAPLANE BASE|AA15|AK|DILLINGHAM|SHANNONS POND|80||59.0589755555556|-158.57719
HELIPORT|DM2|AK|DIOMEDE|DIOMEDE|20||65.7586111111111|-168.953055555556
AIRPORT|AK23|AK|DUTCH HARBOR|DRIFTWOOD BAY AIR FORCE STATION|24|459|53.9719805555556|-166.857405555556
AIRPORT|EAA|AK|EAGLE|EAGLE|907.2|87|64.7780833333333|-141.149611111111
AIRPORT|47AK|AK|EAGLE RIVER|HIGHLAND|650||61.2925|-149.5325
SEAPLANE BASE|D72|AK|EAGLE RIVER|D&C FIRE LAKE FLYING CLUB|295||61.3525194444444|-149.54635
AIRPORT|EEK|AK|EEK|EEK|26.5||60.2136944444444|-162.043888888889
AIRPORT|EII|AK|EGEGIK|EGEGIK|92.3||58.1854902777778|-157.375427777778
AIRPORT|KKU|AK|EKUK|EKUK|30||58.8111925|-158.5588425
AIRPORT|KEK|AK|EKWOK|EKWOK|141|148|59.3568333333333|-157.471138888889
HELIPORT|ERO|AK|ELDRED ROCK|ELDRED ROCK CG|33||58.9716805555556|-135.222025
SEAPLANE BASE|ELV|AK|ELFIN COVE|ELFIN COVE|0||58.1951841666667|-136.347392777778
AIRPORT|ELI|AK|ELIM|ELIM|161.5|181|64.6149722222222|-162.270527777778
AIRPORT|MOS|AK|ELIM|MOSES POINT|14||64.6981819444444|-162.057299166667
SEAPLANE BASE|1Z9|AK|ELLAMAR|ELLAMAR|0||60.8939077777778|-146.703691944444
AIRPORT|ENM|AK|EMMONAK|EMMONAK|16.2||62.7861388888889|-164.49075
AIRPORT|3AK1|AK|EUREKA|SKELTON|3289||61.9379833333333|-147.170080555556
AIRPORT|2Z2|AK|EUREKA CREEK|EUREKA CREEK|700||65.1759113888889|-150.220538611111
AIRPORT|2Z3|AK|EVA CREEK|EVA CREEK|2817||64.0421111111111|-148.863138888889
SEAPLANE BASE|EXI|AK|EXCURSION INLET|EXCURSION INLET|0||58.4204986111111|-135.449032777778
SEAPLANE BASE|2Z5|AK|FAIRBANKS|CHENA RIVER|440||64.8328994444444|-147.848258333333
AIRPORT|AK28|AK|FAIRBANKS|CHENA MARINA|427||64.8140277777778|-147.918555555556
AIRPORT|AK22|AK|FAIRBANKS|LAKLOEY AIR PARK|475|35|64.8216666666667|-147.521666666667
AIRPORT|32AK|AK|FAIRBANKS|HARDROCK FIELD|664|30|64.9092861111111|-147.913961111111
AIRPORT|25AA|AK|FAIRBANKS|SKYFLIGHT|1100|6|64.9286583333333|-147.880572222222
AIRPORT|MTF|AK|FAIRBANKS|METRO FLD|432|13|64.80679|-147.762421111111
AIRPORT|31AK|AK|FAIRBANKS|"DALRYMPLE'S"|450||64.8329077777778|-147.424643333333
AIRPORT|AK52|AK|FAIRBANKS|"MOEN'S RANCH"|582|20|64.8888888888889|-147.535594444444
AIRPORT|FBK|AK|FAIRBANKS/FT WAINWRIGHT|LADD AAF|448.6||64.8376097222222|-147.614491666667
AIRPORT|2AK1|AK|FAIRBANKS /FT WAINWRIGHT/|BLAIR LAKE|910||64.3637391666667|-147.363758055556
AIRPORT|2AK2|AK|FAIRBANKS /FT WAINWRIGHT/|CLEAR CREEK|660||64.4534586111111|-147.563491944444
AIRPORT|AK7|AK|FAIRBANKS|GOLD KING CREEK|1720|30|64.1980555555556|-147.928611111111
AIRPORT|EIL|AK|FAIRBANKS|EIELSON AFB|547.5||64.6656444444445|-147.101438888889
AIRPORT|83AK|AK|FAIRBANKS|TOLOVANA HOT SPRINGS|800||65.2565|-148.830255555556
AIRPORT|FAI|AK|FAIRBANKS|FAIRBANKS INTL|439|3470|64.8151111111111|-147.856444444444
SEAPLANE BASE|2Z6|AK|FALSE ISLAND|FALSE ISLAND|0||57.5321544444444|-135.213451111111
AIRPORT|KFP|AK|FALSE PASS|FALSE PASS|18.3|66|54.8478611111111|-163.407111111111
AIRPORT|0AA4|AK|FAREWELL|FAREWELL|1535|3039|62.5091833333333|-153.890626388889
AIRPORT|TNW|AK|FAREWELL LAKE|TIN CREEK|1185|12|62.5321222222222|-153.612788888889
SEAPLANE BASE|FKK|AK|FAREWELL LAKE|FAREWELL LAKE|1052||62.5424538888889|-153.62251
AIRPORT|3Z1|AK|FEATHER RIVER|FEATHER RIVER|325||64.8317272222222|-166.131522222222
HELIPORT|2AK3|AK|FIVE FINGER|FIVE FINGER CG|48||57.2699363888889|-133.631451388889
AIRPORT|FLT|AK|FLAT|FLAT|309||62.4526488888889|-157.98907
HELIPORT|8AK0|AK|FORT WAINWRITE|BACH HELIPAD|453.1||64.8308555555556|-147.660455555556
AIRPORT|FYU|AK|FORT YUKON|FORT YUKON|447.2|261|66.5724166666667|-145.246333333333
SEAPLANE BASE|FNR|AK|FUNTER BAY|FUNTER BAY|0||58.2543858333333|-134.897906666667
AIRPORT|GBH|AK|GALBRAITH LAKE|GALBRAITH LAKE|2662.7||68.4796666666667|-149.489916666667
AIRPORT|GAL|AK|GALENA|EDWARD G PITKA SR|153.9|1250|64.7361965277778|-156.934958722222
AIRPORT|GAM|AK|GAMBELL|GAMBELL|29.4|200|63.7666111111111|-171.732777777778
HELIPORT|AK42|AK|GIRDWOOD|ALYESKA RESORT|283|2|60.97|-149.101388888889
AIRPORT|AQY|AK|GIRDWOOD|GIRDWOOD|164|175|60.9690222222222|-149.119345833333
AIRPORT|KGZ|AK|GLACIER CREEK|GLACIER CREEK|2380||61.4551344444444|-142.380950833333
AIRPORT|5AK4|AK|GLENNALLEN|SNOWSHOE LAKE AIRPORT AND SEAPLANE BASE|2380|7|62.0328055555556|-146.674966666667
SEAPLANE BASE|3Z8|AK|GOLDEN HORN LODGE|GOLDEN HORN LODGE|91||59.7470394444444|-158.8747275
AIRPORT|GLV|AK|GOLOVIN|GOLOVIN|61.9|225|64.5504552777778|-163.007171388889
AIRPORT|GNU|AK|GOODNEWS|GOODNEWS|18.1||59.1178611111111|-161.573666666667
AIRPORT|Z40|AK|GOOSE BAY|GOOSE BAY|78||61.39465|-149.842269444444
AIRPORT|GSZ|AK|GRANITE MOUNTAIN|GRANITE MOUNTAIN AS|1313||65.4021333333333|-161.281475
AIRPORT|KGX|AK|GRAYLING|GRAYLING|137.5||62.8920853055556|-160.066396888889
AIRPORT|GKN|AK|GULKANA|GULKANA|1586.1|1678|62.1549444444444|-145.454333333333
AIRPORT|8AK1|AK|GULKANA|JACOBUS FIELD|1670||62.2802833333333|-145.362766666667
AIRPORT|GST|AK|GUSTAVUS|GUSTAVUS|36.3|1821|58.4252777777778|-135.707416666667
AIRPORT|HNS|AK|HAINES|HAINES|15.3|124|59.2438291666667|-135.5235375
AIRPORT|18AA|AK|HAINES|18 MEADOWS AERODROME|89|50|59.3132222222222|-135.723222222222
HELIPORT|AA35|AK|HAINES|35 MILE LODGE|690|20|59.4375555555556|-136.229361111111
AIRPORT|9AA9|AK|HAINES|AIRKAT AIRPARK|260|9|59.4030555555556|-136.019444444444
SEAPLANE BASE|3Z9|AK|HAINES|HAINES|0||59.2349511111111|-135.440718055556
HELIPORT|0AA6|AK|HAINES|BIG SALMON|292||59.4030555555556|-136.013611111111
AIRPORT|AK74|AK|HANNUM CREEK|UPPER HANNUM CREEK|1300||65.9048580555556|-163.3290925
SEAPLANE BASE|HWI|AK|HAWK INLET|HAWK INLET|0||58.1274413888889|-134.755953055556
AIRPORT|HRR|AK|HEALY|HEALY RIVER|1275|1294|63.8675833333333|-148.968833333333
HELIPORT|7AK7|AK|HEALY|ERA DENALI|1580|2|63.7384319444445|-148.881749722222
AIRPORT|AK33|AK|HERENDEEN BAY|HERENDEEN BAY|20||55.801395|-160.899254444444
AIRPORT|2AK5|AK|HINCHINBROOK|JOHNSTONE POINT|15||60.481675|-146.5842525
AIRPORT|2AK6|AK|HOGATZA|HOG RIVER|534|10|66.1761333333333|-155.684816666667
SEAPLANE BASE|HYL|AK|HOLLIS|CLARK BAY|0||55.4904166666667|-132.623555555556
AIRPORT|HCA|AK|HOLY CROSS|HOLY CROSS|74.5||62.1883055555556|-159.774944444444
AIRPORT|HOM|AK|HOMER|HOMER|84.3|1040|59.6449949722222|-151.485808416667
SEAPLANE BASE|5BL|AK|HOMER|HOMER-BELUGA LAKE|25||59.6415555555556|-151.521127777778
AIRPORT|AK17|AK|HOMER|GLACIERVIEW STRIP|1600||59.7635647222222|-151.223241944444
AIRPORT|AK18|AK|HOMER|CAMP POINT|8||59.8285491666667|-153.080824722222
AIRPORT|2AK4|AK|HOMER|BOOTLEGGERS COVE|45||59.47|-151.5125
AIRPORT|98AK|AK|HOMER|EASTLAND|1190||59.7758416666667|-151.181630555556
HELIPORT|4AA4|AK|HOMER|SOUTH PENINSULA HOSPITAL|370||59.6522611111111|-151.55
AIRPORT|46AK|AK|HOMER|BEAR COVE FARM|115||59.7382888888889|-151.029894166667
